,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Child gesture:other,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:scaffolding,Verbal scaffolding:instruction translation,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:child,Parent gaze:missing data,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[2, 0.3972100572652075]","[5, 0.8736451767331764]","[2, 0.0008558171726848608]","[4, 0.025234586552232655]","[1, 0.9975409807423203]","[100, 100]","[3, 0.0695548451936745]","[1, 0.00039684269864812693]","[1, 1.0]","[1, 0.2048681071068686]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 8.693769015347179e-05]","[5, 0.023875408288841476]","[1, 1.0]","[4, 0.0002212130086103628]","[1, 1.0]","[1, 1.0]","[2, 0.21696094218317657]","[2, 0.6684074496590373]","[1, 1.0]","[2, 0.41580138956033486]","[100, 100]","[1, 0.9957396948653302]","[1, 0.921270663263367]","[3, 0.999162278592472]","[3, 0.5491440424864729]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0018019662525157719]","[4, 0.022828431869987887]","[1, 1.3964919911985688e-05]","[4, 0.14285577737155072]","[5, 0.2105614265023033]","[2, 1.6377861837612487e-08]"
Child gaze:tablet,"[5, 6.554267533886185e-13]","[100, 100]","[1, 1.7066322038857932e-11]","[5, 0.0022322867106373363]","[5, 0.0009213055887015572]","[1, 0.9972403982466279]","[100, 100]","[5, 3.057404250382029e-10]","[2, 0.09429476557956129]","[4, 1.917769970924089e-05]","[2, 0.15138934835217532]","[100, 100]","[1, 1.0]","[5, 0.01654891843169921]","[1, 1.0]","[1, 1.0]","[3, 0.007564360058988698]","[5, 0.08009256130541963]","[5, 0.9838011847065119]","[5, 5.029980724846473e-10]","[1, 1.0]","[1, 1.0]","[5, 0.0034925907962146028]","[4, 0.9056596534343502]","[1, 1.0]","[2, 0.33050073927596935]","[100, 100]","[1, 0.9952189327232945]","[2, 0.29855514963113755]","[3, 0.15214179346648046]","[5, 0.8306575115059597]","[3, 0.22137067241640335]","[1, 1.0]","[1, 1.0]","[5, 0.3201022426428369]","[5, 0.00012727628313048486]","[4, 0.0012576516150120706]","[5, 0.00805705699801679]","[3, 0.337134502419558]","[4, 0.0001221485446130879]"
Child gaze:parent,"[2, 7.847308124127344e-11]","[1, 0.9986944642897386]","[100, 100]","[4, 8.256870035141746e-18]","[1, 1.0]","[1, 0.9940802085658546]","[100, 100]","[5, 9.337510996048755e-29]","[3, 0.22710611894683266]","[4, 8.43042444553393e-69]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0029599633824285505]","[4, 0.003996473400405808]","[3, 1.355867125251089e-32]","[4, 1.9278577736767063e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.3190669061660272]","[1, 1.0]","[2, 0.006163668683970822]","[100, 100]","[1, 0.9897439860931057]","[2, 0.003864309838487076]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 1.0113370920640156e-06]","[2, 1.6678661462618994e-07]","[4, 1.2979913324216199e-11]","[1, 2.426747119369287e-09]","[1, 0.9986479886121321]","[4, 1.1830168736632152e-31]"
Child affect:positive 3,"[4, 0.005444706910764332]","[2, 0.00013744282326055612]","[2, 1.7423594975167634e-19]","[100, 100]","[1, 1.0]","[1, 0.9923563670051997]","[100, 100]","[3, 2.3651596168493397e-15]","[5, 0.20065300590466248]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 3.414438984142802e-08]","[1, 8.650837270712197e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.001904673871219635]","[100, 100]","[1, 0.9867575992877091]","[4, 0.0009394554394034723]","[1, 1.0]","[1, 0.9990050036219387]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 4.536070120976346e-05]","[1, 0.9967893551243276]","[5, 6.98596509218689e-09]","[1, 0.9949964174301777]","[1, 0.0009095768464735261]","[2, 2.4520109587932287e-53]"
Child affect:positive 1,"[2, 0.003440426481370975]","[3, 0.08533881411998014]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.09963293122469531]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 4.0330982281715745e-10]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0462541513138824]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.107219422146699]","[5, 0.02619279927913021]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0027321715957663957]","[1, 1.0]","[1, 2.671651779654254e-06]","[3, 0.24907503152007154]","[1, 1.0]"
Child gesture:point at prop,"[5, 0.9999999999999817]","[1, 0.997239737634121]","[1, 0.9940795571645917]","[1, 0.9923563669379427]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.20047031811053195]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 4.404802143461832e-22]","[1, 1.0]","[1, 1.0]","[1, 0.9969630411454817]","[1, 0.9967893551421196]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.005162774483167495]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.9867575992833962]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 1.4934641843381174e-07]","[1, 1.0]","[1, 1.0]","[1, 0.9965819979091257]","[1, 0.9967893551421196]","[1, 0.995587306419556]","[1, 0.9949964173730959]","[1, 0.9978237399799061]","[1, 0.9923563669454157]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affective touch:affective touch,"[1, 0.007060610006182736]","[5, 0.02885751706161384]","[5, 2.4120771354019722e-12]","[3, 2.3651663011106298e-15]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[3, 0.06349410582938796]","[5, 0.6775141670461381]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9891465678098018]","[3, 0.005125842533759967]","[2, 1.2418319723580305e-24]","[5, 1.1843413331006644e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.2728631071192055]","[1, 1.0]","[1, 0.003599565882400734]","[100, 100]","[1, 1.0]","[1, 0.0023525014278821454]","[1, 1.0]","[3, 0.017190221290950627]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 4.284639532049652e-06]","[5, 0.9967267249391321]","[3, 3.4848863435943317e-10]","[5, 0.9742436618803194]","[4, 0.24004052999370254]","[5, 4.2341276403258155e-26]"
Parent utterance:utterance,"[4, 0.04128684422614695]","[1, 0.9993670083766263]","[5, 0.4969518884670202]","[1, 0.9982471166002879]","[1, 0.10265684108491954]","[1, 0.9982471166277238]","[100, 100]","[3, 0.9991119345456746]","[100, 100]","[1, 1.0]","[5, 0.17389395118737253]","[100, 100]","[3, 0.9861481706959352]","[3, 0.9603851764010242]","[4, 6.221465620022157e-05]","[3, 0.9931797860765642]","[2, 9.930858527164241e-06]","[1, 1.4469169771269582e-08]","[1, 1.0]","[3, 0.014150551876242038]","[3, 0.012076484565266245]","[4, 6.221465620022157e-05]","[2, 0.049715425791269814]","[1, 0.522380216288008]","[3, 0.9931797860765642]","[2, 0.6316587016534494]","[100, 100]","[3, 0.995121239836449]","[2, 0.6057797699390532]","[3, 0.9978556163351306]","[4, 0.8910086813645637]","[4, 0.7412775905023408]","[1, 0.0010565081923923263]","[3, 0.9982837861859772]","[1, 0.22293375464042617]","[1, 0.25017069600077624]","[5, 0.5538597707174144]","[1, 0.08031609869756069]","[1, 0.02266334772190396]","[1, 7.185635013544311e-08]"
Parent utterance:missing data,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 1.2418319723579945e-24]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 4.673693116009308e-07]","[1, 1.0]","[4, 6.25297833620248e-86]","[4, 7.609910090437943e-23]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:cognitive,"[2, 0.997949521888256]","[2, 0.9987980213443596]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.1218679724349811]","[3, 0.985919590995395]","[1, 0.13083363345773413]","[1, 0.10980075726368091]","[1, 1.0]","[1, 1.0]","[3, 6.346376861038852e-05]","[4, 0.1218679724349811]","[3, 0.11024610756130995]","[2, 0.18807906648478534]","[3, 0.985919590995395]","[2, 0.378309784635889]","[100, 100]","[1, 1.0]","[2, 0.3462069188625569]","[3, 0.9998899155291034]","[4, 0.703808656916389]","[2, 0.16022281434084518]","[1, 2.6753357921959825e-06]","[2, 0.9860379185807369]","[2, 0.9832074203443201]","[2, 0.9378687148302944]","[2, 0.9717612715692407]","[1, 1.0]","[1, 0.27918752188002327]","[1, 1.0]"
Verbal scaffolding:scaffolding,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Verbal scaffolding:instruction translation,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 3.5979100390255396e-05]","[100, 100]","[1, 1.0]","[4, 1.1814052360658551e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:affective,"[1, 1.0]","[4, 0.009958830985578655]","[1, 1.0]","[1, 1.0]","[1, 4.0330982281715745e-10]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 5.8188582234353496e-05]","[1, 2.1065607738666465e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 3.597910039025301e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0028477765797182094]","[1, 1.0]"
Non-verbal scaffolding:cognitive,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.006890838882461276]","[1, 1.0]","[5, 0.5293530450665032]","[100, 100]","[1, 1.1508195440523645e-13]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.999624871025718]","[1, 1.0]","[5, 0.49753067311466204]","[100, 100]","[5, 6.403203102880729e-17]","[5, 0.4446044401429332]","[3, 0.017190221290950627]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.648103063547028e-10]","[1, 0.009263407459485168]","[4, 0.19588280375764586]","[5, 9.586529387257766e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Non-verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 1.573556391584128e-05]","[1, 1.0]","[2, 1.4746651148055036e-10]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Parent gaze:tablet,"[1, 0.002350937702928995]","[5, 0.0037157066804701746]","[5, 7.057960775831777e-09]","[2, 0.8752211793763903]","[1, 1.0]","[1, 0.9969637444954712]","[100, 100]","[5, 9.517947596448781e-06]","[4, 0.005028785216725329]","[3, 3.065296383001353e-07]","[1, 0.13083363309391172]","[100, 100]","[1, 1.0]","[2, 0.0002550073085636856]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 6.873683235884887e-35]","[1, 6.525923366548343e-09]","[1, 2.5682631885276033e-11]","[1, 1.0]","[1, 1.0]","[2, 0.05503365184822097]","[2, 0.9923535101693871]","[1, 1.0]","[4, 0.09349140688865286]","[100, 100]","[1, 0.9947396293546906]","[4, 0.07075371182933561]","[1, 1.0]","[3, 0.35741380243130016]","[3, 0.1451179972887679]","[1, 1.0]","[1, 1.0]","[4, 0.41463179269568595]","[2, 0.9084365039588428]","[5, 0.012048878517156322]","[2, 0.9434617910551943]","[5, 0.0006047570167828202]","[1, 4.770298849069007e-22]"
Parent gaze:child,"[1, 0.10674602568294451]","[5, 0.004552396337481012]","[4, 5.9371278902486216e-06]","[2, 0.954738945757708]","[1, 1.0]","[1, 0.9967900825727601]","[100, 100]","[4, 0.00012989540423914464]","[1, 0.0006664471963614718]","[1, 1.0]","[5, 0.41229624119565284]","[100, 100]","[1, 1.0]","[1, 2.106560726013466e-05]","[1, 1.0]","[1, 1.0]","[3, 0.0009960655012546352]","[100, 100]","[1, 1.0]","[1, 0.0004983608494968646]","[1, 1.0]","[1, 1.0]","[2, 0.05385628862773268]","[2, 0.9973106150244192]","[1, 1.0]","[4, 0.07022758782429901]","[100, 100]","[1, 0.9944387599261346]","[4, 0.05054606434321027]","[1, 1.0]","[3, 0.3101926853606995]","[3, 0.11244083194552379]","[1, 1.0]","[1, 1.0]","[4, 0.2940294669305595]","[5, 0.7730581256357294]","[5, 0.012910364399359445]","[5, 0.14442494778940368]","[5, 0.0013354740923639016]","[1, 2.8984800384070564e-07]"
Parent gaze:missing data,"[1, 1.0]","[2, 1.4325572578613649e-06]","[3, 1.3943298845178556e-32]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 7.609910090436674e-23]","[1, 1.0]","[2, 2.2125702529523862e-88]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0002483019159528594]","[1, 1.0]"
